발주번호,발주일,공급업체,품목코드,발주수량,단가,납기예정일,발주담당
PO20261022,2026-04-08,Fujifilm BI Japan,ITEM-010,100,1900,2026-04-18,박구매
PO20261075,29-MAY-26,Fujifilm BI Suzhou,ITEM015,600,540,05-JUN-26,김구매
PO20261077,20260406,후지필름BI 재팬,item011,50,2050,20260417,이구매
PO20261089,20260707,Fujifilm BI Taiwan,ITEM003,200,3200,20260716,이구매
PO20261030,2026-05-24,FBI Suzhou,ITEM014,500,320,2026-06-02,이구매
PO20261076,2026-06-09,Fujifilm BI Suzhou,ITEM015,250,540,2026-06-18,김구매
PO20261058,2026-05-07,FBI Shanghai,ITEM007,50,6400,2026-05-12,박구매
PO20261069,2026/04/12,FUJIFILM BI SHANGHAI,ITEM019,150,780,2026/04/23,박구매
PO20261034,07-JUN-26,FBI Shanghai,item006,200,8900,15-JUN-26,이구매
PO20261068,20260628,FUJIFILM BI JAPAN,ITEM010,200,1900,20260709,박구매
PO20261070,01-APR-26,태국법인,ITEM004,600,5800,16-APR-26,박구매
PO20261047,20260624,Fujifilm BI Japan,ITEM010,50,1900,20260707,이구매
PO20261059,2026/04/12,FBI Shenzhen,ITEM008,1000,2300,2026/04/28,김구매
PO20261061,2026-04-30,Fujifilm BI Taiwan,ITEM003,250,3200,2026-05-07,이구매
PO20261067,2026-06-10,FBI Vietnam,ITEM018,1000,140,2026-07-01,박구매
PO20261013,20260406,FBI Suzhou,item015,600,540,20260409,이구매
